num,intensity,Mass,Error,MolForm,C,H,N,O,S,Cl,Br,I,P
1,6129346,206.045925,-0.212,C10 H8 N O4,10,8,1,4,0,0,0,0,0
2,3819233,206.082306,-0.191,C11 H12 N O3,11,12,1,3,0,0,0,0,0
3,3919367,207.0122,-0.297,C10 H7 O3 S,10,7,0,3,1,0,0,0,0
4,8300054,207.029944,-0.23,C10 H7 O5,10,7,0,5,0,0,0,0,0
5,2530329,207.033394,-0.608,C7 H11 O5 S,7,11,0,5,1,0,0,0,0
6,2335792,207.059936,-0.86,C10 H11 N2 O S,10,11,2,1,1,0,0,0,0
7,7843382,207.066333,-0.247,C11 H11 O4,11,11,0,4,0,0,0,0,0
8,16004665,207.069696,-0.203,C8 H15 O4 S,8,15,0,4,1,0,0,0,0
9,2846293,207.10268,-0.058,C12 H15 O3,12,15,0,3,0,0,0,0,0
10,3230325,207.139062,-0.042,C13 H19 O2,13,19,0,2,0,0,0,0,0
11,3907993,208.06157,-0.188,C10 H10 N O4,10,10,1,4,0,0,0,0,0
12,7939286,209.009213,-0.247,C9 H5 O6,9,5,0,6,0,0,0,0,0
13,33025270,209.045573,-0.124,C10 H9 O5,10,9,0,5,0,0,0,0,0
14,4771064,209.048943,-0.118,C7 H13 O5 S,7,13,0,5,1,0,0,0,0
15,3763989,209.081991,-0.28,C11 H13 O4,11,13,0,4,0,0,0,0,0
16,2364245,209.15473,-0.127,C13 H21 O2,13,21,0,2,0,0,0,0,0
17,3019359,210.040822,-0.123,C9 H8 N O5,9,8,1,5,0,0,0,0,0
18,2711167,210.077213,-0.152,C10 H12 N O4,10,12,1,4,0,0,0,0,0
19,2309059,211.024882,-0.334,C9 H7 O6,9,7,0,6,0,0,0,0,0
20,5909475,211.061256,-0.281,C10 H11 O5,10,11,0,5,0,0,0,0,0
21,3647462,211.064579,-0.049,C7 H15 O5 S,7,15,0,5,1,0,0,0,0
22,2885101,211.072541,-0.524,C9 H11 N2 O4,9,11,2,4,0,0,0,0,0
23,2129406,211.090976,0.388,C10 H15 N2 O S,10,15,2,1,1,0,0,0,0
24,9405443,211.097613,-0.142,C11 H15 O4,11,15,0,4,0,0,0,0,0
25,3358756,211.13399,-0.103,C12 H19 O3,12,19,0,3,0,0,0,0,0
26,2587988,212.056479,-0.154,C9 H10 N O5,9,10,1,5,0,0,0,0,0
27,5883765,212.092883,-0.243,C10 H14 N O4,10,14,1,4,0,0,0,0,0
28,2300078,213.022758,-0.253,C9 H9 O4 S,9,9,0,4,1,0,0,0,0
29,2593982,213.040514,-0.244,C9 H9 O6,9,9,0,6,0,0,0,0,0
30,11037406,213.076879,-0.148,C10 H13 O5,10,13,0,5,0,0,0,0,0
31,2068456,213.088043,0.174,C9 H13 N2 O4,9,13,2,4,0,0,0,0,0
32,16993022,213.113274,-0.194,C11 H17 O4,11,17,0,4,0,0,0,0,0
33,3417887,213.149714,-0.45,C12 H21 O3,12,21,0,3,0,0,0,0,0
34,3620437,214.072153,-0.265,C9 H12 N O5,9,12,1,5,0,0,0,0,0
35,3812982,214.108539,-0.266,C10 H16 N O4,10,16,1,4,0,0,0,0,0
36,6855319,214.144902,-0.163,C11 H20 N O3,11,20,1,3,0,0,0,0,0
37,4919730,215.034981,0.005,C12 H7 O4,12,7,0,4,0,0,0,0,0
38,5735877,215.056181,-0.322,C9 H11 O6,9,11,0,6,0,0,0,0,0
39,2160083,215.071422,-0.252,C13 H11 O3,13,11,0,3,0,0,0,0,0
40,19546598,215.092532,-0.16,C10 H15 O5,10,15,0,5,0,0,0,0,0
41,2361840,215.103774,-0.203,C9 H15 N2 O4,9,15,2,4,0,0,0,0,0
42,2284022,215.111072,0.246,C11 H19 O2 S,11,19,0,2,1,0,0,0,0
43,19489286,215.12891,-0.125,C11 H19 O4,11,19,0,4,0,0,0,0,0
44,2313767,215.165251,0.081,C12 H23 O3,12,23,0,3,0,0,0,0,0
45,2606382,216.030209,0.102,C11 H6 N O4,11,6,1,4,0,0,0,0,0
46,2142529,216.051368,-0.036,C8 H10 N O6,8,10,1,6,0,0,0,0,0
47,2964303,216.066582,0.161,C12 H10 N O3,12,10,1,3,0,0,0,0,0
48,2093401,216.077906,-0.259,C11 H10 N3 O2,11,10,3,2,0,0,0,0,0
49,6441314,216.087764,-0.083,C9 H14 N O5,9,14,1,5,0,0,0,0,0
50,7454083,216.124172,-0.185,C10 H18 N O4,10,18,1,4,0,0,0,0,0
51,3310774,217.03536,0.072,C8 H9 O7,8,9,0,7,0,0,0,0,0
52,2863811,217.050741,-0.5,C12 H9 O4,12,9,0,4,0,0,0,0,0
53,2432198,217.05405,-0.213,C9 H13 O4 S,9,13,0,4,1,0,0,0,0
54,5496022,217.071788,-0.121,C9 H13 O6,9,13,0,6,0,0,0,0,0
55,2898148,217.087131,-0.521,C13 H13 O3,13,13,0,3,0,0,0,0,0
56,33032438,217.108177,-0.139,C10 H17 O5,10,17,0,5,0,0,0,0,0
57,3166488,217.144504,0.13,C11 H21 O4,11,21,0,4,0,0,0,0,0
58,2692676,218.045901,-0.09,C11 H8 N O4,11,8,1,4,0,0,0,0,0
59,46836856,218.103415,-0.085,C9 H16 N O5,9,16,1,5,0,0,0,0,0
60,4099004,219.029948,-0.231,C11 H7 O5,11,7,0,5,0,0,0,0,0
61,8277981,219.066314,-0.142,C12 H11 O4,12,11,0,4,0,0,0,0,0
62,14565344,219.069657,-0.017,C9 H15 O4 S,9,15,0,4,1,0,0,0,0
63,4055015,219.077537,-0.095,C11 H11 N2 O3,11,11,2,3,0,0,0,0,0