reaction,C,H,O,N,P,S,Cl,Br,I,mass_difference
1+CO,1,0,1,0,0,0,0,0,0,27.994915
1+CO2,1,0,2,0,0,0,0,0,0,43.989829
1+3O,0,0,3,0,0,0,0,0,0,47.984744
1+H2O2,0,2,2,0,0,0,0,0,0,34.005479
1+2O,0,0,2,0,0,0,0,0,0,31.989829
1+2O+H2,0,2,2,0,0,0,0,0,0,34.005479
1+O,0,0,1,0,0,0,0,0,0,15.994915
1+O+H2,0,2,1,0,0,0,0,0,0,18.010565
1+O+NH,0,1,1,1,0,0,0,0,0,31.005814
1+H2O,0,2,1,0,0,0,0,0,0,18.010565
1-CO,-1,0,-1,0,0,0,0,0,0,-27.994915
1-CO2,-1,0,-2,0,0,0,0,0,0,-43.989829
1-CH2O,-1,-2,-1,0,0,0,0,0,0,-30.010565
1-C2H2O2,-2,-2,-2,0,0,0,0,0,0,-58.005479
1-C3H2O2,-3,-2,-2,0,0,0,0,0,0,-70.005479
1-C4H2O4,-4,-2,-4,0,0,0,0,0,0,-113.995309
1-2N+CO,1,0,1,-2,0,0,0,0,0,-0.011233
1-NH3+O2,0,-3,2,-1,0,0,0,0,0,14.96328
1-NH2+NO2,0,-2,2,0,0,0,0,0,0,29.974179
1-NH2+CH3,1,1,0,-1,0,0,0,0,0,-0.995249
1-NH2+OH,0,-1,1,-1,0,0,0,0,0,0.984016
1-N+H3,0,3,0,-1,0,0,0,0,0,-10.979599
1-NH,0,-1,0,-1,0,0,0,0,0,-15.010899
1-S,0,0,0,0,0,-1,0,0,0,-31.972071
1-SO2,0,0,-2,0,0,-1,0,0,0,-63.9619
1-SO3,0,0,-3,0,0,-1,0,0,0,-79.956815
1-SO,0,0,-1,0,0,-1,0,0,0,-47.966986
1-SH2,0,-2,0,0,0,-1,0,0,0,-33.987721
1-CH2,-1,-2,0,0,0,0,0,0,0,-14.01565
1-C2H2,-2,-2,0,0,0,0,0,0,0,-26.01565
1-C2H4,-2,-4,0,0,0,0,0,0,0,-28.0313
1-C2H6,-2,-6,0,0,0,0,0,0,0,-30.04695
1-C3H4,-3,-4,0,0,0,0,0,0,0,-40.0313
1-C3H6,-3,-6,0,0,0,0,0,0,0,-42.04695
1-C2H2O,-2,-2,-1,0,0,0,0,0,0,-42.010565
1-O3,0,0,-3,0,0,0,0,0,0,-47.984744
1-O2,0,0,-2,0,0,0,0,0,0,-31.989829
1-O,0,0,-1,0,0,0,0,0,0,-15.994915
1-H2O,0,-2,-1,0,0,0,0,0,0,-18.010565
1-H2,0,-2,0,0,0,0,0,0,0,-2.01565